辨識碼,卦序,卦名,組成,卦名白話翻譯,卦名解釋,卦辭,卦辭白話解釋,建議,運勢,愛情,考試,求職
111222,12,否,天地,處在困境中。,表不好、壞掉了！主凶象。否顯現出陰陽之氣不協調，在人及事方面諸多不被認同，有內外不合、眾說紛紜的現象，因此事事難以進行，最好此時能彼此互相退讓靜下心來理性的溝通，方能轉吉。婚姻、感情，已有個性、意見的衝突產生，若不能好好退讓協商，恐有離異分手的結局。,否之匪人，不利君子貞，大往小來。,閉塞不通，慘無人道的時候，不利於君子的貞定。君子大人離去，小人回來。,除了靜待時機，等待否極泰來，或許可以多注意一下自己在溝通能力上的問題。若是為人上司，則應該設法放下身段，打破下屬的心結。若是為人下屬，則可設法將意見上達。,凶且衰，君子以險德避難，不可榮以祿也。邇勢不通達，諸事不順，有損失且波折多。故宜守固正道，若稍偏差，則災害至也。,陰陽相背，被拒千里之外。,不理想。,先難後易，須有耐心去爭取勝利，否則凶。
111121,13,同仁,天火,結合志同道合的人集思廣益。,表有志一同，相和而成。主吉象。理念相同共處愉快。事業投資、感情皆是和睦融洽。最適合找人合夥事業或尋求認同自己理念的吉卦。,同人于野，亨，利涉大川，利君子貞。,與人會見於野外，亨通。利於涉水過大河，可以涉險。利於君子的貞定。,與人結盟應當要有信心與決心，更應注意自己的誠信與心胸氣度，否則中間可能出現的阻撓與障礙，不但可能讓你半途而廢，甚至惹禍上身。,得此卦為諸事開通、平安、吉祥、如意之象，有同情心，互愛、亨通之象，故宜好好掌握時機，維持盛泰。若有稍涉偏私或為私情之愛則有破兆，應以事業為重。,互悅其情，彼此間謙和以禮互敬，魚之得水，定成美眷。切忌氣盛，宜和。,成績優良。,吉利。
121111,14,大有,火天,旺盛大有收穫。,表有很多的收穫。是個吉卦。易經解釋大有卦為，春耕、夏耘、秋收、冬藏，是個努力堅持之後的願望期待實現。很利於投資、合夥、感情、婚姻。,大有，元亨。,大有，大亨通。,大有是非常好的一卦，凡事都順利而亨通。但要注意的是富有時應保持低調，不要炫耀，以免引來不必要的麻煩。,得時得運，隆盛昌榮也。然卦象藏有盛極必衰的預兆，不得不慎，以期保持其全盛之樞紐，可眾望所歸。有走紅、賺錢之勢，須謹慎不可驕縱。,可實現理想之吉象。,科甲明登。,順利可行。
222122,15,謙,地天,要謙虛才可得到助力。,表謙虛不出風頭之意。主吉中帶小凶。謙卦顯示除了謙虛不與人爭之外，還有一個很重要的意義，就是被「壓抑」！在目前到處都充滿競爭的世代裏，彼此競爭、排斥，是很正常的一種現象，所以，謙卦就是告訴你，雖然一時被壓制了，但是忍辱負重，很快就會再意氣風發的。因此不要氣餒、灰心。另外，也顯示，事事不可強出頭，目前局勢下，謙讓不意氣用事，才可得吉象。,謙，亨，君子有終。,謙卑，亨通，君子能實踐到最後。,謙是修養自己，以德服人的一卦。因為虛心，所以更為富有，因為謙卑，所以崇高；功成不居，所以偉大。但這些都不是一?可及的，而是要持之以恒。,吉利平安，欣欣向榮之象，謙者前途大利，驕者橫行招敗。故以君子謙德，縱涉大川而無險也，卦利君子。正所謂謙受益滿招損也。,以謙恭相追求有成，可獲良緣，反之失利。,金榜題名。,吉利。可成。
221222,16,豫,雷地,順應天命。,表高興悅樂之意。主小吉象。此卦顯示做事積極、有力，性情柔和、圓融，充滿令人喜樂之氣象。凡事可盡力去做，無大礙。婚姻、感情，男建、女歡，可得良緣。,豫，利建侯、行師。,豫樂，利於建立諸侯，軍隊出征。,可以用「寓教於樂」的手段來完成嚴肅的事。凡事用心傾聽，以娛悅的心與人多做心靈的交流；不要沉溺而迷失自我，要懂得節制，適可而止。,此卦象徵萬物欣暢，如意安泰，可得上輩之助。切不能因繁華而怠惰，或沉醉於聲色歡場之中。好運不常有，當好好把握。,一帆風順，天賜良緣。,金榜題名。,可得上輩提拔，有希望。
211221,17,隨,澤雷,跟隨上司主意行事。,表隨遇而安，一切隨緣、隨和。主吉象。事事均可依隨著自己的心思計畫來執行，而會順利地達成。事業、投資、理財、感情，均會有令人滿意的發展和收穫。,隨，元亨利貞，?咎。,順從，大亨通而利於貞定，沒有罪咎。,凡事順其自然，隨緣，做了讓自己高興就好，不要太強求。但切莫把隨緣當隨便，否則事情會敗壞。,物事均有去舊迎新之吉象，凡事與他人互相通達、協商，可名利雙收。倘若三心二意，或獨立單行，不聽人言勸，有自招災禍之虞。,目前重於情慾、經濟，依賴心較重，順著時事、心性而行即可，感情如家人般的結合。,成績理想。,雖吉，然若能謙遜待人，多接受別人意見，會得人提拔。
122112,18,蠱,山風,中蠱毒，無可救藥。,表受到蠱惑、毒害。主大凶象。蠱毒是因內在腐朽而生蟲化毒，顯示問題的根因存在已久，卻未誠實面對處理而導致愈來愈嚴重。若是動爻在外，則表示被外來的小人所害，其怨恨根結甚深。易做出錯誤的決策，慨大都被人所迷惑、而一時心神錯亂引致禍事。,蠱，元亨，利涉大川，先甲三日，後甲三日。,「先甲三日，後甲三日」原本意指吉日，甲日之前三日為辛日，甲日之後三日為丁日。辛日與丁日皆為吉日。辛又有「改過自新」的意味，丁日則取「丁寧」（叮嚀）的意思。,蠱卦面對的是一種沉?已久的問題，所以不是解決眼前問題而已。所以在力精圖治、奮發有為的同時，重要的是必需重新擬定新的計畫，建立新的未來。,諸事不如意、積弊已深，未能進展，氣運雜亂。逢此宜鼓起勇氣，大膽加以革新，有內憂外患之象。,關係複雜，尤其男人到處留情，苦惱多，終會一刀兩斷。另覓對象可吉。女子若是再婚者，其前夫不良，且已斷緣再嫁。,落榜。,不利。
222211,19,臨,地澤,好事即將來臨。,表大駕光臨，貴人來到之意。主吉象。臨又為「君王臨幸」之意，是上者對下者之象，在事業投資，為貴人相助之意。在感情則有期待而至的歡喜感。只是以上之象皆有，人尊己卑需仰息於人的感覺。,臨，元亨利貞，至于八月有凶。,大人來監察，匯聚了許多良好條件，利於貞定。到八月會有凶。,關心並督促事情要注意保持內心的喜悅，態度及手法的柔順。做事要能持續，不要虎頭蛇尾，則事情可到達新的境界。若半途而廢可能會帶來災難。,運勢漸增，諸事亨通如意，前途有望，仕途有成，可得貴人相助。上下安合。以和順可奏大功，宜誠心待人，可諸事順暢，急進或忘形者，有破財之象。,不可急，切忌意氣用事要求，柔順期待者有吉象。,金榜題名。,順利可成。
112222,20,觀,風地,尚在觀察中。,表觀察、觀看。是個最標準的狀況卦，吉凶未定。凡事不可輕下決定，需要再觀察一下局勢再做打算。尤其是對長官、上位者的態度更是要察言觀色，不可輕忽大意。,觀，盥而不薦，有孚顒若。,觀看祭典，就要看澆灌香酒請神最隆重的一段，這時與祭者最為虔誠而莊嚴。至於後面獻牲禮開始就沒什麼好看的。此比喻觀禮要虔誠與用心。,觀卦的吉道在於能夠接近事情的核心，並用心去觀看事情的發展，從中充實自己。反之，若是無法接近事情好好觀察，為凶。而若接近了，只是外行看熱鬧也是枉然。,處在有危險不穩的時運，耍多觀望時勢之利弊，待機行事，於人事物，須以誠待之，才能感化而倖免陷入困難也。,外表看好，內則虛浮，有上輩提攜可望達成，否則尚處在漂動不穩定的狀態。,不理想。,不易。
121221,21,噬嗑,火雷,被吞沒掉。,表如鯁在喉、難以決策。主吉凶未定，是個狀況卦，有點偏小凶。也如同「雞肋」一般，食之無味、棄之又可惜！是需要堅決下個決心的時候了！,噬嗑亨，利用獄。,噬嗑，亨通，利於使用刑罰之事。,得噬嗑卦凡事能小有獲得，但需要明察秋毫、明辨是非的能力，除了解決中間可能遇到的困難，更要能分清什麼是該得，什麼是不該得的，以免因得而惹禍上身。,諸事不遂心，多受阻害。有紛爭，無法前進之時，宜常守原則，不為利誘，以免被人中傷。然而一般人多有無法逃避利誘者，故必受禍，若能和氣處事為安。更須突破困難方可通達。,有被人阻礙或橫刀奪愛之事。但勿氣餒，勇往邁進即可成功，否則放棄罷了。,不佳。,多生枝節，不利。唯有積極去謀求方有所成就。
122121,22,賁,山火,表面好看、裡表不一。,表美麗得外表裝飾。主小凶象。「金玉其外、敗絮其中」最佳解釋。經過有心修飾、偽裝的外表或事情，事業投資、感情皆不宜。慎防有心的小人、偽君子。,賁，亨，小利有攸往。,賁，亨通，若是小事，利於有所往。反之，大事則不吉。,卜得賁卦只適宜做小事，不宜做大事，而且既使有成，也只是小成，過程也不會太平順。賁卦最好不要矜持過度，以致於黑白不分。,卦象是象徵其人外表好看，內在空虛，因此，必須充實自己，凡事深思遠慮，與人和睦相處，能獲得意外利益。切忌因小失大，更無須為了掩飾外觀而造成不必要的損失。凡事踏實，按部就班為是。,不可自視太高，也勿把對方及自己都估計太過，須知華麗的外表並不能決勝負，宜相誠以對，若自視太高反不得所愛。宜慎。,不理想。但人家以為你讀得不錯。,條件勿太苛求，可成。
122222,23,剝,山地,剝削，剝落。,表剝落之意。主大凶象。地動山崩，一時群山崩落為平地，表示很嚴重的動盪、變化，而致使重大的傷害、不幸的產生。最易有急症、意外的血光之災。事業、感情、婚姻，得此卦需有心理準備，所有之前的努力可能要重新再來了。唯此卦利於重新到外地發展，或另尋對象也可。,剝，不利有攸往。,剝爛，不宜遠行。不宜出門。,剝卦為陽氣即將被剝盡的時候，諸事不宜。只能靜待時機，等待時局轉變，事情進入另一個循環時再重新開始。,運帶破、帶衰，有不利之災禍，不可抱持野心，自作聰明，否則自掘墳坑。得此卦者，必有與歡場女子耗費餞財而又被陷害之苦惱，且有受部下連累而損財，為不得志之時運也。,卦象陰太盛，故男求女利，女求男不利。口舌多，不可奢望太高。,落榜。,順而止，要慎機行事，不可粗心大意。
222221,24,復,地雷,一年復始、萬象更新。,表重複再來、週而復始之意。主是個狀況卦，吉凶未定。好事會重複，但壞事也會重複再來的。此卦顯現一種循環的狀態，可能是好、也可能是壞。,復，亨，出入無疾，朋來無咎，反復其道，七日來復，利有攸往。,回家，亨通。進出家門都平安無事，朋友來了也沒有災難。一趟路下來，來回需要七天的日程。利於出門。,此時適於閉關休養生息。凡事莫心急，在最冷的冬天裡，生機暗藏，只需等待春天一到，就會欣欣向榮。,一陽來復，萬事甦伸，不久就會好轉。初時不宜急進，腳踏實地則有一本萬利、開運亨通之象也。,性急則敗，緩可得利。,愈考愈好。,勿太急，可成。
111221,25,無妄,天雷,無妄之災。,表不要有一些空幻的想法，或是你的想法可能有點虛妄不切實際。主小凶。建議凡事要務實、踏實一點。也表示目前所處的狀況，是有一廂情願的心態。或是有點「妄想症」的不正常心理。,無妄，元亨利貞。其匪正有眚，不利有攸往。,發生意料之外的事，大亨通，利於貞正。若是行為不正會有災禍，不利出門或遠行。,不要因為遇到災難而怨天尤人，甚至進一步胡作非為，否則事情會更糟而無法收拾。凡事守靜，循規蹈矩自可渡過難關。,無妄的道理者，乃真實無虛要踏實。故若做事操守而能堅貞固執者吉。若不行正道，行為不檢點者，必然有災禍至也。切忌醉沉於利、慾之中，慎之。,成功與否，須看各人之修為德性而定。然此卦有不順遂、不和，或有被傷害者欲分離之象耳。,筆試有利，口試不利。,
122111,26,大畜,山天,大有積蓄。,表會有很多的積蓄、不動產的來到。吉相之卦。可以考慮較大的投資案，只是現金周轉可能會較不利。蓄也有守財小氣之象。,大畜，利貞，不家食，吉，利涉大川。,大畜，利於貞定，不在家吃飯，吉。利於渡河涉險。,對於事業很好，大膽前往會受到重用，但將難以兼顧家庭，甚至可能離鄉背井。因此自己需要的是什麼必需思考清楚。,大凡諸事不可好高鶩遠，腳踏實地、務實行事，始能成就大業。以蓄德為主可吉，若因得勢而氣盛凌人，目空一切者，終招失敗之象。,雖有些阻礙，但終有望，然氣盛則自招叛而破。,上榜。,不利。再待時。
122221,27,頤,山雷,靜臥，不向前衝。,表養也。主小吉帶一點凶。養跟飲食有關，也表示養育、教育的意思，對情勢需要再充實、瞭解，不要貿然的就下任何的決定。頤，又與口有關，故需慎防小人口舌之災。,頤，貞吉，觀頤，自求口實。,頤養，貞定為吉，觀察別人如何養生，以求得自己口頰的充實。,謀事時機未到，最好再閉關修練。凡事以守靜為吉，要知所節制，慎防口舌之災，不管是嘴巴講出去的話還是吃進去的東西。,有欠缺考慮、魯莽妄動之害。若有懷陰謀，與人互相猜疑或爭端者更不利。要守正道而善行之，凡事切忌任性非為。,不可傲氣凌人。雖有些阻礙，但此情令人意亂情迷，耍冷靜觀察。因為頤卦為養，即是食，對自己本身之損益，跟自己吃下去的東西，是相對性質的反應。故宜重新估計對方的價值，是益是損？切勿因情誤了自己的青春。,尚可。,不成。
211112,28,大過,澤風,極大過失。,表犯了一個很大的過錯哦！主大凶。諸事不順，切忌此時作任何的決策。需努力找出問題之所在，儘快解決才能扭轉劣勢。,大過，棟橈。利有攸往，亨。,大的過錯，棟樑彎曲不正。宜有所往，亨通。,根基不穩，基礎很弱，既使有棟粱之才獨撐大局而能化解危機，但一切還是應該回頭思考如何穩固根本，避免繼續腐化。或者另求出路，也是良策。,諸事衰退，多煩惱，恐水難或犯官符。有力不從心，負擔過重之象。逢挫折而將墜落之時運，故得此卦者，凡事切忌經舉妄動，否則有過。,雙方眼光均太高，且各已有相好之人，花心又不實，何需再另談感情之事？無望。,苦惱也。不佳。,困難很多。
212212,29,坎,水,漂浮，被情所困。,表陷溺被水淹滅之意。主凶象。四大難卦第二卦。困難已到來了，此時正在掙扎中，隨時會被淹滅而破散。若能破釜沈舟、奮力一擊，或許尚有轉機，需積極找求貴人，才會有生機。,習坎，有孚，維心亨，行有尚。,雙重的牢坎，有誠信，維持內心的亨通，行為得到獎賞。,面對逃無可逃的危險要能安之若命，進一步求通達變，那麼或可化險為夷，甚至達成目標；反之若無法泰然處之，那麼卜此卦者為大凶。,危機重重，宜容忍自重，保持心境開朗，沉著應付，則可有脫險之機。吃得苦中苦，方為人上人，凡事莫與人爭長短，否則有不幸災害。,溺於情愛之中，然本身和外圍的困擾和壓力都很大。,不理想。,不利。
121121,30,離,火,變動突發火光。,表智慧、明亮、溫暖。六沖卦、純卦，主大吉大凶、大好大壞之象。也表，虛象不實之意。,離，利貞，亨，畜牝牛吉。,附麗，利於貞定，亨通，畜養母牛做為祭祀之用則吉。,這一卦雖吉，但顯然是有條件的：若能柔順中庸則吉，反之則不吉。另要注意事情是否外表過於美麗，華而不實；或者人是否流於小聰明，而缺乏圓融的智慧。,雖然目前外觀極盛一切順利，可能為假象、虛象，而且雙火之燃，其內部、內情已有所損，又雙火之烈，如烈日中天，故凡事宜守之，勿太急進，待人以謙和、理性，否則必有所損失。宜順從長輩，勿因急躁而妄動或意氣用事，則可欣欣向榮也。,對方明亮有活力，性急者弄巧成拙，誠靜者其情必有成就。,成績不錯。,尊重長輩安排。待時機可獲良好事業。
211122,31,咸,澤山,合和。,表感動也。主吉象。感，有如青春男女，清純無暇的感情，心心相印有感而發的情感，得此卦，與感情有非常大的關係。也可引伸為對一種理念的認同和欣賞。咸，並無利慾的情色糾葛，是屬於比較「感性的」一種感覺。對男女之間的感情，是最大的吉象。,咸，亨，利貞，取女吉。,有感情，亨通，利於貞定。娶女吉。,如何正確使用感情來處世？這是卜得咸卦所需注意的基本問題。虛心傾聽，取得他人共鳴，那麼事情自然可成。但若感情用事，濫情而不守禮法，則大凶。,吉祥如意。但勿為不正當的感情而意亂迷惑，或過於衝動。然得此卦時，會有男貪女愛之箏，非名正者必遭損，宜慎之。,互敬互愛，清清白白者定成眷偶。若名不順而貪愛者，當知懸崖勒馬。,成績佳。,皆能如意得償。
221112,32,恆,雷風,要有恆心。,表維持不變的跡象。主是個狀況卦，吉凶未定。顯示一種會持續很長久的一種狀況。好的或壞的情形，都將會再持續下去。事業投資、感情婚姻都不宜在此時做任何的計畫或變動。,恒亨，?咎，利貞，利有攸往。,恒久而亨通，沒有罪咎。利於貞定，利有所往。,如果你想要的就是穩定，那麼這就是一個大吉之卦；但如果你所想要的是挑戰與成長，那麼這是一個潛藏未來成長障礙的卦。因為過於穩定，將會缺乏變化與創新。,諸事亨通而沒有犯錯方能恆久。其象利於正常固守，並須有毅力持行。雷風者，知守常則吉，妄動者則不能亨通。,順利如意，有美好結果。,高分紀錄。,向東南有利。
111122,33,遯,天山,隱居退守。,表退守、退步之意。主凶象。一切事項均需停止下來，因其中可能有小人、或障礙、陰謀在破壞中。退另有表示退步之意，功課、事業，均不再如同往常般的成績了！,遯亨，小利貞。,逃離而亨通，小人利於守正。,小人得勢的時候，不要想著功成名就，凡事躲得越快越遠越好；功成不居，急流勇退，隱居深山，是最好的去處。,小人道長，君子須遠離小人，諸事宜守。艮者，止也，言行物事要謹慎，才能得安而運泰。若遇小人之害，見陷於是非之地，勿管閒事，識時務為俊傑。,落花有意，流水無情，適時地另外選擇其他對象吧！,不理想。,須待時機。
221111,34,大壯,雷天,聲勢浩蕩。,表天上打雷、聲勢浩大，行動迅速、積極之象。此卦一般以吉處藏凶來論。因為對人、對事最忌衝動。此卦有過於不理性衝動之象，容易犯錯。尤其有血光之禍，被人毆打、傷害之意。得此卦，凡事再三思為吉。,大壯，利貞。,非常壯盛，利於貞定。,理直氣壯、據理力爭有時雖有必要，但卻很可能因此造成不必要的傷害。凡事應當多點冷靜審察情勢，不要莽撞，就能夠避免不必要的錯誤與災難。,剛強過盛者，若不思正與順，則有躁動之害耳。雖運勢強大，時至當盛之期，但忌血氣方剛。處事欠思慮而遭破運，宜力持和平、順氣，勿得罪人，否則會因此而招來失敗，切勿貪妄。,有成就，但缺乏仁和謙恭，易遭反悔，須慎之。,有好成績，但勿太驕傲。,可順利。勿太剛強行事。
121222,35,晉,火地,很明白，很明亮。,表進取也。主吉象。火為太陽，所以是「日出於大地、光明乍現」，陽光準備要照耀大地，一片欣欣向榮之象。事業投資、升遷、婚姻、感情均是有雨過天晴，奮發向上的吉象。,晉，康侯用錫馬蕃庶，晝日三接。,晉升，康侯受到賞賜的馬匹眾多，白天就三次受到接見。此言因功而受到周王賞賜與重用，不停的接見。,除了卜問感情，晉是一個大吉之卦，聰明才智會受到肯定。卜問生意與財運也都能有所斬獲。,事業繁榮，聲譽漸高，於人、事、物均獲宏利之際，與人共事者吉。但要知進德虛懷，即是諸凡對人、事宜謹守德操，不可傲溢心懷，否則有破象也。但財運旺。,光明出於地上。柔順而求，可成眷屬。,科甲登榜。,受人提拔，可有成就。
222121,36,明夷,地火,渾沌不明。,表火入坑中，陽氣被陰氣所傷害，被小人所重傷。主大凶象。諸事不宜，運最背之時。,明夷，利艱貞。,光明隕落消失，利於艱苦與貞定。,局勢混亂，求財求事皆無成，不要想著功成名就，應當以明哲保身、求取生存為第一要務。,逆勢下降，時運未濟，物事勞苦，逢小人加害，光明受到掩蔽而失光明，所以多艱難之運也。有萬事阻滯，遇事迷惑、受災。故宜守貞固之道，忍耐自重，等待時機。,有被背叛拋棄之象，未能被對方接受，不成也，而且受傷很深重。,無望。,日下無希望，須再待時，需防被騙、失財、失身。
112121,37,家人,風火,家人離散，吉中帶凶。,表同為一家人。主小吉之象。事事以家人為重之意，如事業投資均需一家人合作共事為佳。感情，為成家之吉象。,家人，利女貞。,家人，利於女子的貞定。,凡事應當優先反躬自省，處理好自己的份內事、家務事，處理好了一切問題都可迎刃而解。,平安無事，且有喜事之象，與家人共事者大利。,有情人終成眷屬。,上榜有名。,有良好機會，勿失。
